d_opt,sigma_d,tissue,d,k_rel,loss
4e-08,1e-08,Transport-Resistant,3.5e-08,4.641588833612772e-05,3.398559942361092e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,6.812920690579608e-05,3.4452451405955273e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,0.0001,3.400641378094589e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,0.0001467799267622069,3.30358931476402e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,0.00021544346900318823,3.186540558230107e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,0.00031622776601683794,3.070846718116883e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,0.00046415888336127773,2.9675634090025895e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,0.0006812920690579609,2.8804362366248045e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,0.001,2.8088984851572323e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,0.001467799267622069,2.750298717203228e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,0.002154434690031882,2.7013299165974566e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,0.0031622776601683794,2.65878526387624e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,0.004641588833612777,2.6199196926785406e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,0.006812920690579608,2.582548138417818e-05
4e-08,1e-08,Transport-Resistant,3.5e-08,0.01,2.5450566780531778e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,1e-06,3.2328264549283738e-06
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,1.4677992676220705e-06,4.317637084157993e-06
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,2.1544346900318822e-06,5.9579014992561e-06
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,3.162277660168379e-06,8.32419373355323e-06
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,4.641588833612782e-06,1.1521673200250125e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,6.8129206905796085e-06,1.5511722525855573e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,9.999999999999999e-06,2.0049324378276038e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,1.4677992676220675e-05,2.467002891423654e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,2.1544346900318823e-05,2.8774847269136983e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,3.1622776601683795e-05,3.182467968703666e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,4.641588833612772e-05,3.3548133313982816e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,6.812920690579608e-05,3.401718259207983e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,0.0001,3.355008500433062e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,0.0001467799267622069,3.253876583892985e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,0.00021544346900318823,3.131610847794497e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,0.00031622776601683794,3.0103514124120226e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,0.00046415888336127773,2.9017240870759526e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,0.0006812920690579609,2.8098576500994408e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,0.001,2.7344628887834926e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,0.001467799267622069,2.6731093672713522e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,0.002154434690031882,2.62260701134367e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,0.0031622776601683794,2.5797616288615186e-05
